date,tariff,item,commodity,primary_class,railroad,origin,origin_city,origin_state,destination,destination_city,destination_state,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,car_volume_cubic_feet,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile
2023-05-15,4315,,Corn,N/A,CSX,"Haw Creek (Ladoga), IN",Haw Creek,IN,"Ozark, AL",Ozark,AL,707.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.4361,56.5343,51.2883,0.0725
2023-05-15,4315,,Corn,N/A,CSX,"Marysville, OH",Marysville,OH,"Rose Hill, NC",Rose Hill,NC,781.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.4744,58.0437,52.6577,0.0674
2023-05-15,4315,,Corn,N/A,CSX,"Olney, IL",Olney,IL,"Fairmount, GA",Fairmount,GA,496.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.1296,44.4687,40.3423,0.0813
2023-05-15,4051,2215.0,Corn,N/A,UP,"Allen Station (San Jose), IL",Allen,IL,"Pittsburg, TX",Pittsburg,TX,691.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,0.9157,38.9983,35.3795,0.0512
2023-05-15,4051,2300.0,Corn,N/A,UP,"Mead, NE",Mead,NE,"Keyes, CA",Keyes,CA,1737.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,1.4404,64.1203,58.1704,0.0335
2023-05-15,4051,2215.0,Corn,N/A,UP,"Nebraska City, NE",Nebraska City,NE,"Amarillo, TX",Amarillo,TX,714.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,1.1477,48.2326,43.7569,0.0613
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Argyle, MN",Argyle,MN,"PNW (Seattle, WA)",Seattle,WA,1528.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7027,66.3555,60.1982,0.0394
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Argyle, MN",Argyle,MN,"Texas Gulf (Houston, TX)",Houston,TX,1634.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7568,68.6048,62.2387,0.0381
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Casselton, ND",Casselton,ND,"PNW (Seattle, WA)",Seattle,WA,1469.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.6892,65.7125,59.6149,0.0406
2023-05-15,4022,69902.0,Soybeans,N/A,BNSF,"Casselton, ND",Casselton,ND,"St. Louis, MO",St. Louis,MO,855.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.1622,44.8237,40.6644,0.0476
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Concordia, KS",Concordia,KS,"Texas Gulf (Houston, TX)",Houston,TX,742.0,Shuttle,110,120.0,Railroad,0,0,"286,000",>=5001,1.2838,49.0119,44.464,0.0599
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Mitchell, SD",Mitchell,SD,"PNW (Seattle, WA)",Seattle,WA,1624.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7162,67.0904,60.8649,0.0375
2023-05-15,4022,69105.0,Soybeans,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"PNW (Seattle, WA)",Seattle,WA,1881.0,Shuttle,110,120.0,Railroad,0,0,"286,000",>=5001,1.7027,67.2319,60.9932,0.0324
